Time,Inv 1 AC-Leistung (W)
2021-10-25,3837.0764W
2021-10-26,1016.3409W
2021-10-27,3829.8W
2021-10-28,3652.0076W
2021-10-29,3354.8047W
2021-10-30,3734.3149W
2021-10-31,3378.4307W
2021-11-01,3098.2419W
2021-11-02,1780.6097W
2021-11-03,2229.2847W
2021-11-04,2837.281W
2021-11-05,1295.0W
2021-11-06,3030.8936W
2021-11-07,3290.3225W
2021-11-08,1930.1052W
2021-11-09,3447.082W
2021-11-10,2785.48W
2021-11-11,349.4386W
2021-11-12,205.0351W
2021-11-13,238.1826W
2021-11-14,275.3363W
2021-11-15,511.3305W
2021-11-16,387.9115W
2021-11-17,195.4298W
2021-11-18,2724.8535W
2021-11-19,2319.0671W
2021-11-20,3233.3613W
2021-11-21,3330.8035W
2021-11-22,242.5W
2021-11-23,1602.1466W
2021-11-24,3411.8535W
2021-11-25,2209.0439W
2021-11-26,85.7333W
2021-11-27,109.5102W
2021-11-28,74.3441W
2021-11-29,1880.3392W
2021-11-30,2277.6814W
2021-12-01,1496.7928W
2021-12-02,126.0583W
2021-12-03,1816.0625W
2021-12-04,1939.5272W
2021-12-05,22.534W
2021-12-06,2641.9363W
2021-12-07,2665.0708W
2021-12-08,1542.8198W
2021-12-09,15.8696W
2021-12-10,134.3558W
2021-12-11,242.3942W
2021-12-12,2004.8363W
2021-12-13,890.4771W
2021-12-14,2188.6306W
2021-12-15,611.6339W
2021-12-16,2258.6846W
2021-12-17,2045.6697W
2021-12-18,2499.5454W
2021-12-19,2716.009W
2021-12-20,2654.4866W
2021-12-21,2616.2546W
2021-12-22,438.3273W
2021-12-23,853.7818W
2021-12-24,1217.7686W
2021-12-25,1641.9175W
2021-12-26,134.5446W
2021-12-27,219.1373W
2021-12-28,139.2475W
2021-12-29,2230.6943W
2021-12-30,2167.7964W
2021-12-31,2721.991W
2022-01-01,2253.761W
2022-01-02,2462.5676W
2022-01-03,2165.4814W
2022-01-04,746.3423W
2022-01-05,123.1635W
2022-01-06,2531.0356W
2022-01-07,3244.3394W
2022-01-08,1771.6339W
2022-01-09,1200.1072W
2022-01-10,1275.1982W
2022-01-11,3328.3564W
2022-01-12,3311.4036W
2022-01-13,3123.1379W
2022-01-14,3238.6897W
2022-01-15,3068.0862W
2022-01-16,3169.7119W
2022-01-17,2055.1379W
2022-01-18,3472.6035W
2022-01-19,3351.8135W
2022-01-20,1846.8435W
2022-01-21,3858.3418W
2022-01-22,3290.8462W
2022-01-23,2233.2136W
2022-01-24,118.3894W
2022-01-25,3551.5798W
2022-01-26,466.8898W
2022-01-27,995.34W
2022-01-28,1779.174W
2022-01-29,2076.123W
2022-01-30,3993.9751W
2022-01-31,1017.1138W
2022-02-01,2702.7024W
2022-02-02,2379.5454W
2022-02-03,2843.7097W
2022-02-04,3833.8862W
2022-02-05,3396.0476W
2022-02-06,2514.9753W
2022-02-07,2050.2683W
2022-02-08,3567.1372W
2022-02-09,3820.4761W
2022-02-10,3958.3047W
2022-02-11,2624.1182W
2022-02-12,4246.6016W
2022-02-13,4195.0776W
2022-02-14,4126.3662W
2022-02-15,2350.5681W
2022-02-16,3871.4539W
2022-02-17,3966.6538W
2022-02-18,3920.3608W
2022-02-19,1337.6923W
2022-02-20,2335.3435W
2022-02-21,719.3384W
2022-02-22,3416.5076W
2022-02-23,3998.4478W
2022-02-24,4084.772W
2022-02-25,479.7836W
2022-02-26,2413.9783W
2022-02-27,3727.1396W
2022-02-28,3654.1079W
2022-03-01,4377.8726W
2022-03-02,4473.4102W
2022-03-03,4179.4751W
2022-03-04,2597.4639W
2022-03-05,1233.4214W
2022-03-06,1529.741W
2022-03-07,4007.7832W
2022-03-08,3158.2268W
2022-03-09,4222.4214W
2022-03-10,4274.6782W
2022-03-11,4405.1309W
2022-03-12,4667.7656W
2022-03-13,4506.1484W
2022-03-14,4181.2651W
2022-03-15,1930.9445W
2022-03-16,1743.6107W
2022-03-17,3114.8367W
2022-03-18,1789.1987W
2022-03-19,1297.9597W
2022-03-20,3906.4268W
2022-03-21,4486.5845W
2022-03-22,4486.7778W
2022-03-23,4430.0386W
2022-03-24,4434.7988W
2022-03-25,4073.1741W
2022-03-26,4035.9495W
2022-03-27,4156.6216W
2022-03-28,4138.9492W
2022-03-29,3463.7114W
2022-03-30,1092.6666W
2022-03-31,474.9412W
2022-04-01,1120.5166W
2022-04-02,659.9167W
2022-04-03,2251.6306W
2022-04-04,2189.3313W
2022-04-05,2031.7407W
2022-04-06,4380.6025W
2022-04-07,3327.2036W
2022-04-08,2018.7531W
2022-04-09,726.8025W
2022-04-10,3437.9697W
2022-04-11,4511.1987W
2022-04-12,4404.2529W
2022-04-13,4233.1846W
2022-04-14,4293.3677W
2022-04-15,1905.2275W
2022-04-16,3321.071W
2022-04-17,4450.041W
2022-04-18,2362.1726W
2022-04-19,536.5844W
2022-04-20,4409.4268W
2022-04-21,3766.8843W
2022-04-22,313.0994W
2022-04-23,724.5029W
2022-04-24,3050.4194W
2022-04-25,3067.23W
2022-04-26,1158.7485W
2022-04-27,993.2601W
2022-04-28,2593.8694W
2022-04-29,3188.4971W
2022-04-30,4167.9043W
2022-05-01,1673.4171W
2022-05-02,1968.8693W
2022-05-03,3738.1118W
2022-05-04,3088.7151W
2022-05-05,3031.1685W
2022-05-06,759.0862W
2022-05-07,606.9769W
2022-05-08,1947.5945W
2022-05-09,3344.2556W
2022-05-10,3393.6775W
2022-05-11,3778.0437W
2022-05-12,3327.2131W
2022-05-13,1941.011W
2022-05-14,3850.8171W
2022-05-15,3427.0645W
2022-05-16,2520.1028W
2022-05-17,2474.0989W
2022-05-18,3470.1809W
2022-05-19,3870.2566W
2022-05-20,3538.2258W
2022-05-21,1838.6703W
2022-05-22,3656.7393W
2022-05-23,2386.2913W
2022-05-24,2701.615W
2022-05-25,1581.2222W
2022-05-26,2497.0105W
2022-05-27,3748.4712W
2022-05-28,646.9465W
2022-05-29,811.7031W
2022-05-30,2412.1106W
2022-05-31,3771.2292W
2022-06-01,3423.3855W
2022-06-02,2575.9097W
2022-06-03,2551.8489W
2022-06-04,3424.8376W
2022-06-05,1051.2135W
2022-06-06,3327.3403W
2022-06-07,1959.7151W
2022-06-08,1584.6388W
2022-06-09,586.0695W
2022-06-10,1476.1771W
2022-06-11,2893.2246W
2022-06-12,3015.4236W
2022-06-13,1694.2284W
2022-06-14,3372.2144W
2022-06-15,3482.269W
2022-06-16,1834.9794W
2022-06-17,2933.4314W
2022-06-18,3520.8782W
2022-06-19,3619.0203W
2022-06-20,2659.5938W
2022-06-21,654.5876W
2022-06-22,1537.0481W
2022-06-23,1576.7225W
2022-06-24,1856.5562W
2022-06-25,2860.4336W
2022-06-26,3255.7969W
2022-06-27,3407.6174W
2022-06-28,2960.9534W
2022-06-29,2676.5027W
2022-06-30,2918.4248W
2022-07-01,3126.1123W
2022-07-02,3528.5532W
2022-07-03,3718.9211W
2022-07-04,1846.3673W
2022-07-05,2365.5469W
2022-07-06,3381.0774W
2022-07-07,1433.5566W
2022-07-08,3807.917W
2022-07-09,3218.9897W
2022-07-10,2471.9102W
2022-07-11,3242.9385W
2022-07-12,2563.9739W
2022-07-13,3720.2124W
2022-07-14,2897.4197W
2022-07-15,1206.7074W
2022-07-16,3232.9163W
2022-07-17,3712.2605W
2022-07-18,3656.0364W
2022-07-19,3639.8064W
2022-07-20,3670.679W
2022-07-21,3425.6719W
2022-07-22,3449.5503W
2022-07-23,2828.3635W
2022-07-24,3142.4277W
2022-07-25,3509.4973W
2022-07-26,1933.543W
2022-07-27,1002.8716W
2022-07-28,3516.4624W
2022-07-29,2122.9563W
2022-07-30,1900.9944W
2022-07-31,3355.3999W
2022-08-01,2402.25W
2022-08-02,2552.3298W
2022-08-03,3700.1794W
2022-08-04,3690.2732W
2022-08-05,3144.1667W
2022-08-06,1157.348W
2022-08-07,2625.0225W
2022-08-08,1136.1967W
2022-08-09,3697.8452W
2022-08-10,3134.5586W
2022-08-11,3437.147W
2022-08-12,2866.2529W
2022-08-13,1528.8409W
2022-08-14,3486.2261W
2022-08-15,3543.199W
2022-08-16,2792.324W
2022-08-17,3799.217W
2022-08-18,2806.0342W
2022-08-19,1822.9941W
2022-08-20,1494.7765W
2022-08-21,1117.0291W
2022-08-22,1047.3893W
2022-08-23,1096.8735W
2022-08-24,2775.8765W
2022-08-25,2475.9414W
2022-08-26,3619.2249W
2022-08-27,2845.3835W
2022-08-28,2793.9465W
2022-08-29,2236.8403W
2022-08-30,3380.8071W
2022-08-31,1144.3435W
2022-09-01,1655.5792W
2022-09-02,3212.2195W
2022-09-03,3604.0732W
2022-09-04,3359.6829W
2022-09-05,2022.4136W
2022-09-06,3443.29W
2022-09-07,2883.8875W
2022-09-08,1831.7562W
2022-09-09,1169.405W
2022-09-10,2714.7043W
2022-09-11,2104.2124W
2022-09-12,3807.8735W
2022-09-13,3324.9045W
2022-09-14,3064.8645W
2022-09-15,1250.4667W
2022-09-16,318.8435W
2022-09-17,584.8411W
2022-09-18,2175.0066W
2022-09-19,4159.8506W
2022-09-20,3054.2026W
2022-09-21,3261.448W
2022-09-22,3114.1382W
2022-09-23,4270.3975W
2022-09-24,2995.8354W
2022-09-25,853.8904W
2022-09-26,1415.349W
2022-09-27,609.118W
2022-09-28,2379.8027W
2022-09-29,260.6154W
2022-09-30,1632.5972W
2022-10-01,1665.3103W
2022-10-02,1851.9795W
2022-10-03,1884.8112W
2022-10-04,3975.6257W
2022-10-05,3211.4414W
2022-10-06,3606.3171W
2022-10-07,3556.0986W
2022-10-08,2982.7375W
2022-10-09,687.5036W
2022-10-10,2988.8501W
2022-10-11,3390.5361W
2022-10-12,1861.7246W
2022-10-13,3654.0647W
2022-10-14,2716.5579W
2022-10-15,806.6788W
2022-10-16,3747.3022W
2022-10-17,3632.1606W
2022-10-18,3550.6716W
2022-10-19,3386.6567W
2022-10-20,1289.1204W
2022-10-21,1044.8881W
2022-10-22,318.5263W
2022-10-23,2740.291W
2022-10-24,1123.1591W
2022-10-25,3337.6667W
2022-10-26,1904.6565W
2022-10-27,3594.3589W
2022-10-28,3599.0229W
2022-10-29,3028.8923W
2022-10-30,3088.907W
2022-10-31,3474.125W
2022-11-01,3262.7439W
2022-11-02,2016.8W
2022-11-03,1149.8651W
2022-11-04,88.8167W
2022-11-05,1020.0W
2022-11-06,3645.512W
2022-11-07,3716.3613W
2022-11-08,3513.7983W
2022-11-09,3236.2339W
2022-11-10,403.9106W
2022-11-11,1531.1464W
2022-11-12,1975.625W
2022-11-13,3075.4661W
2022-11-14,2187.8291W
2022-11-15,319.5826W
2022-11-16,433.9076W
2022-11-17,1589.9584W
2022-11-18,390.2328W
2022-11-19,141.3333W
2022-11-20,1965.9915W
2022-11-21,2584.2307W
2022-11-22,367.1892W
2022-11-23,394.1491W
2022-11-24,2596.9043W
2022-11-25,3251.8633W
2022-11-26,1609.5983W
2022-11-27,3236.3914W
2022-11-28,1658.5267W
2022-11-29,213.0741W
2022-11-30,132.1308W
2022-12-01,165.2076W
2022-12-02,247.1143W
2022-12-03,83.8962W
2022-12-04,79.1456W
2022-12-05,348.3394W
2022-12-06,1887.4862W
2022-12-07,1298.9099W
2022-12-08,142.699W
2022-12-09,237.3832W
2022-12-10,49.7822W
2022-12-11,668.972W
2022-12-12,2244.0178W
2022-12-13,2794.0W
2022-12-14,1312.7222W
2022-12-15,1800.6909W
2022-12-16,289.4762W
2022-12-17,706.9725W
2022-12-18,1008.9907W
2022-12-19,276.9906W
2022-12-20,76.1274W
2022-12-21,517.7798W
2022-12-22,1296.7181W
2022-12-23,2489.0818W
2022-12-24,1748.1455W
2022-12-25,2015.6608W
2022-12-26,1615.5765W
2022-12-27,2217.9106W
2022-12-28,2062.1711W
2022-12-29,2602.259W
2022-12-30,784.6389W
2022-12-31,982.3455W
2023-01-01,2419.6758W
2023-01-02,2412.646W
2023-01-03,161.844W
2023-01-04,2595.6577W
2023-01-05,993.2056W
2023-01-06,2594.1379W
2023-01-07,1451.1913W
2023-01-08,1938.4197W
2023-01-09,203.0935W
2023-01-10,1755.5714W
2023-01-11,704.3452W
2023-01-12,2025.2655W
2023-01-13,1047.7028W
2023-01-14,3148.0608W
2023-01-15,605.7105W
2023-01-16,79.75W
2023-01-17,267.5872W
2023-01-18,909.5398W
2023-01-19,322.7787W
2023-01-20,539.8348W
2023-01-21,752.931W
2023-01-22,125.2212W
2023-01-23,83.0935W
2023-01-24,174.7193W
2023-01-25,259.1239W
2023-01-26,176.3214W
2023-01-27,452.6667W
2023-01-28,38.3604W
2023-01-29,526.0818W
2023-01-30,2583.8196W
2023-01-31,3417.6829W
2023-02-01,3367.6453W
2023-02-02,378.1207W
2023-02-03,2247.0W
2023-02-04,2019.376W
2023-02-05,3805.9048W
2023-02-06,1847.3096W
2023-02-07,3984.937W
2023-02-08,1683.9919W
2023-02-09,3873.3438W
2023-02-10,3942.9612W
2023-02-11,2986.5649W
2023-02-12,3342.5308W
2023-02-13,4006.0923W
2023-02-14,3947.4395W
2023-02-15,2879.1526W
2023-02-16,3795.3384W
2023-02-17,2234.6411W
2023-02-18,2999.519W
2023-02-19,3430.2615W
2023-02-20,3485.7368W
2023-02-21,4089.4592W
2023-02-22,3623.5881W
2023-02-23,767.272W
2023-02-24,2951.1912W
2023-02-25,2983.8076W
2023-02-26,1041.313W
2023-02-27,1814.3604W
2023-02-28,1669.8322W
2023-03-01,615.5621W
2023-03-02,857.6522W
2023-03-03,2130.8215W
2023-03-04,4261.9858W
2023-03-05,3766.6458W
2023-03-06,1620.1277W
2023-03-07,126.8804W
2023-03-08,2703.4895W
2023-03-09,3644.1458W
2023-03-10,2703.0547W
2023-03-11,4151.9795W
2023-03-12,3505.1089W
2023-03-13,2653.696W
2023-03-14,916.9149W
2023-03-15,2461.0811W
2023-03-16,4575.188W
2023-03-17,3899.8467W
2023-03-18,4057.4666W
2023-03-19,3184.2954W
2023-03-20,1652.3087W
2023-03-21,3259.0527W
2023-03-22,3542.3594W
2023-03-23,3140.2207W
2023-03-24,1901.6184W
2023-03-25,1047.7358W
2023-03-26,1406.7349W
2023-03-27,2181.8823W
2023-03-28,4459.3726W
2023-03-29,1696.0195W
2023-03-30,1558.6259W
2023-03-31,2103.085W
2023-04-01,2320.2803W
2023-04-02,2102.7913W
2023-04-03,2671.5437W
2023-04-04,4574.1235W
2023-04-05,4575.1289W
2023-04-06,4557.105W
2023-04-07,3756.1667W
2023-04-08,521.4459W
2023-04-09,1407.0247W
2023-04-10,3268.9395W
2023-04-11,1628.4849W
2023-04-12,2858.741W
2023-04-13,609.9434W
2023-04-14,539.4025W
2023-04-15,1000.7939W
2023-04-16,1644.7738W
2023-04-17,2668.3154W
2023-04-18,1075.8988W
2023-04-19,1729.9042W
2023-04-20,2431.1648W
2023-04-21,1657.0116W
2023-04-22,4178.7559W
2023-04-23,2489.5708W
2023-04-24,716.0537W
2023-04-25,2457.0286W
2023-04-26,2560.0454W
2023-04-27,2843.5625W
2023-04-28,1381.4091W
2023-04-29,2714.9441W
2023-04-30,2482.3909W
2023-05-01,2870.866W
2023-05-02,928.6879W
2023-05-03,1148.6384W
2023-05-04,4001.5747W
2023-05-05,3980.7278W
2023-05-06,2858.3203W
2023-05-07,2611.2158W
2023-05-08,1525.7372W
2023-05-09,2318.5217W
2023-05-10,1678.6333W
2023-05-11,390.7667W
2023-05-12,985.7627W
2023-05-13,441.5444W
2023-05-14,545.1074W
2023-05-15,3292.5537W
2023-05-16,472.7069W
2023-05-17,1087.9728W
2023-05-18,1880.8823W
2023-05-19,1961.7729W
2023-05-20,2249.1892W
2023-05-21,2882.3599W
2023-05-22,3329.8254W
2023-05-23,1854.799W
2023-05-24,439.4652W
2023-05-25,3620.1904W
2023-05-26,2854.2642W
2023-05-27,3679.0886W
2023-05-28,3569.9263W
2023-05-29,3080.198W
2023-05-30,2909.3699W
2023-05-31,2497.7083W
2023-06-01,3353.658W
2023-06-02,2980.2761W
2023-06-03,2885.6753W
2023-06-04,1719.7617W
2023-06-05,598.1123W
2023-06-06,1936.1211W
2023-06-07,2447.137W
2023-06-08,1903.8608W
2023-06-09,2687.8W
2023-06-10,1614.1309W
2023-06-11,1364.202W
2023-06-12,2265.8411W
2023-06-13,3264.1082W
2023-06-14,1549.8776W
2023-06-15,2642.4619W
2023-06-16,2766.0613W
2023-06-17,3012.7512W
2023-06-18,3420.9082W
2023-06-19,3109.5796W
2023-06-20,3293.7642W
2023-06-21,2733.022W
2023-06-22,3203.3628W
2023-06-23,1170.3846W
2023-06-24,2166.4949W
2023-06-25,3236.1616W
2023-06-26,3059.1531W
2023-06-27,659.5492W
2023-06-28,2998.4922W
2023-06-29,3596.3469W
2023-06-30,3369.5181W
2023-07-01,1157.9794W
2023-07-02,2053.6565W
2023-07-03,835.0461W
2023-07-04,2215.5876W
2023-07-05,2444.8704W
2023-07-06,2175.4194W
2023-07-07,3251.3264W
2023-07-08,3432.2437W
2023-07-09,3374.8557W
2023-07-10,2777.1709W
2023-07-11,3173.627W
2023-07-12,2605.4556W
2023-07-13,1890.6702W
2023-07-14,3386.5234W
2023-07-15,3541.5544W
2023-07-16,2896.0886W
2023-07-17,2482.3386W
2023-07-18,3054.5W
2023-07-19,1550.1979W
2023-07-20,2379.9946W
2023-07-21,1533.0642W
2023-07-22,1879.7301W
2023-07-23,3445.0054W
2023-07-24,2196.7554W
2023-07-25,834.6264W
2023-07-26,2797.1924W
2023-07-27,3292.7058W
2023-07-28,3371.5435W
2023-07-29,3218.1531W
2023-07-30,3057.7988W
2023-07-31,2544.8262W
2023-08-01,603.6531W
2023-08-02,2271.8804W
2023-08-03,494.9719W
2023-08-04,412.2308W
2023-08-05,280.815W
2023-08-06,2172.7039W
2023-08-07,2195.9282W
2023-08-08,3533.3723W
2023-08-09,1609.6871W
2023-08-10,3269.3743W
2023-08-11,3796.6926W
2023-08-12,3790.6853W
2023-08-13,3666.4294W
2023-08-14,3746.0449W
2023-08-15,3687.1194W
2023-08-16,2703.0801W
2023-08-17,3078.8513W
2023-08-18,2681.9597W
2023-08-19,2938.9656W
2023-08-20,3552.8679W
2023-08-21,3637.948W
2023-08-22,3576.5664W
2023-08-23,2211.5088W
2023-08-24,3105.2236W
2023-08-25,3412.6406W
2023-08-26,3673.4971W
2023-08-27,3444.1006W
2023-08-28,1377.0549W
2023-08-29,509.9057W
2023-08-30,1512.1841W
2023-08-31,2829.8062W
2023-09-01,3461.5244W
2023-09-02,3406.5334W
2023-09-03,1968.3558W
2023-09-04,3555.0667W
2023-09-05,3910.291W
2023-09-06,3624.9878W
2023-09-07,3818.3704W
2023-09-08,3770.2654W
2023-09-09,3816.1492W
2023-09-10,3853.5776W
2023-09-11,3761.6792W
2023-09-12,3413.3608W
2023-09-13,2670.3701W
